ID,Recept_ID,Élelmiszerek,Élelmiszer ID,Mennyiség,Mértékegység,Tipus,Kötés
1440,188,Olaj,132,1,teáskanál,FŐ_MAKRO,NULL
1441,189,Teljes kiőrlésű kovászos kenyér,106,30,g,FŐ_MAKRO,NULL
1442,189,Tofu (kemény),255,100,g,FŐ_MAKRO,R189-A
1443,189,Paprika,137,30,g,KÖTÖTT,R189-A
1444,189,Kókuszolaj,103,5,g,FŐ_MAKRO,R189-A
1445,190,Tofu (kemény),255,200,g,FŐ_MAKRO,R190-A
1446,190,Tojás,183,1,db,KÖTÖTT,R190-A
1447,190,Quinoa,148,50,g,FŐ_MAKRO,NULL
1448,190,Kaliforniai paprika,89,1,db,KIEGÉSZÍTŐ,NULL
1449,190,Lilahagyma,115,0.5,db,KIEGÉSZÍTŐ,NULL
1450,190,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1451,191,Tofu (kemény),255,200,g,FŐ_MAKRO,NULL
1452,191,Lencsekonzerv,114,150,g,FŐ_MAKRO,NULL
1453,191,Cukkini,44,1,db (nagy),KIEGÉSZÍTŐ,NULL
1454,191,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1455,192,Hajdina,80,50,g,FŐ_MAKRO,NULL
1456,192,Tofu (kemény),255,150,g,FŐ_MAKRO,NULL
1457,192,Kelkáposzta,95,100,g,KIEGÉSZÍTŐ,NULL
1458,192,Kígyóuborka,98,50,g,KIEGÉSZÍTŐ,NULL
1459,192,Kókuszolaj,103,1,teáskanál,FŐ_MAKRO,NULL
1460,192,Citromlé,31,1,evőkanál,ÍZESÍTŐ,NULL
1461,192,Chili pehely,28,0.5,teáskanál,ÍZESÍTŐ,NULL
1462,192,Fokhagyma granulátum,68,0.5,teáskanál,ÍZESÍTŐ,NULL
1463,193,Hajdina,80,50,g,FŐ_MAKRO,NULL
1464,193,Tofu (kemény),255,150,g,FŐ_MAKRO,NULL
1465,193,Paprika,137,50,g,KIEGÉSZÍTŐ,NULL
1466,193,Lilahagyma,115,30,g,KIEGÉSZÍTŐ,NULL
1467,193,Kókuszolaj,103,1,teáskanál,FŐ_MAKRO,NULL
1468,193,Lime lé,116,1,evőkanál,ÍZESÍTŐ,NULL
1469,193,Chili pehely,28,0.5,teáskanál,ÍZESÍTŐ,NULL
1470,193,Római kömény,154,0.5,teáskanál,ÍZESÍTŐ,NULL
1471,193,Koriander (friss),105,5,g,ÍZESÍTŐ,NULL
1472,194,Tofu (kemény),255,200,g,FŐ_MAKRO,NULL
1473,194,Vöröslencse,200,50,g,FŐ_MAKRO,NULL
1474,194,Brokkoli,21,300,g,KIEGÉSZÍTŐ,NULL
1475,194,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1476,194,"Fűszerek (római kömény, koriander, chili)",154,1,ízlés szerint,ÍZESÍTŐ,NULL
1477,195,Tofu (kemény),255,150,g,FŐ_MAKRO,NULL
1478,195,Fekete bab (konzerv),64,100,g,FŐ_MAKRO,NULL
1479,195,Avokádó,13,35,g,FŐ_MAKRO,NULL
1480,195,Kukorica (konzerv),108,50,g,KIEGÉSZÍTŐ,NULL
1481,195,Paprika,137,50,g,KIEGÉSZÍTŐ,NULL
1482,195,Lilahagyma,115,30,g,KIEGÉSZÍTŐ,NULL
1483,195,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1484,196,Quinoa,148,50,g,FŐ_MAKRO,R196-A
1485,196,Nori lap,131,2,db,KIEGÉSZÍTŐ,NULL
1486,196,Tofu (kemény),255,100,g,FŐ_MAKRO,NULL
1487,196,Cukkini,44,100,g,KIEGÉSZÍTŐ,NULL
1488,196,Olívabogyó,65,20,g,FŐ_MAKRO,NULL
1489,196,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1490,196,Almaecet,8,1,evőkanál,KÖTÖTT,R196-A
1491,197,Gyorsfőzésű barna rizs,151,50,g,FŐ_MAKRO,R197-A
1492,197,Nori lap,131,2,db,KIEGÉSZÍTŐ,NULL
1493,197,Tofu (kemény),255,100,g,FŐ_MAKRO,NULL
1494,197,Paprika,137,50,g,KIEGÉSZÍTŐ,NULL
1495,197,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1496,197,Almaecet,8,1,evőkanál,KÖTÖTT,R197-A
1497,198,Quinoa,148,50,g,FŐ_MAKRO,R198-A
1498,198,Nori lap,131,2,db,KIEGÉSZÍTŐ,NULL
1499,198,Tofu (kemény),255,100,g,FŐ_MAKRO,NULL
1500,198,Paprika,137,50,g,KIEGÉSZÍTŐ,NULL
1501,198,Vöröshagyma,199,20,g,KIEGÉSZÍTŐ,NULL
1502,198,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1503,198,Almaecet,8,1,evőkanál,KÖTÖTT,R198-A
1504,199,Gyorsfőzésű barna rizs,151,50,g,FŐ_MAKRO,NULL
1505,199,Nori lap,131,2,db,KIEGÉSZÍTŐ,NULL
1506,199,Tofu (kemény),255,100,g,FŐ_MAKRO,NULL
1507,199,Retek,149,30,g,KIEGÉSZÍTŐ,NULL
1508,199,Kígyóuborka,98,30,g,KIEGÉSZÍTŐ,NULL
1509,199,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1510,200,Teljes kiőrlésű kovászos kenyér,106,30,g,FŐ_MAKRO,NULL
1511,200,Tonhal sós lében,185,50,g,FŐ_MAKRO,R200-A
1512,200,Kókuszjoghurt,100,15,g,KÖTÖTT,R200-A
1513,200,Paprika,137,20,g,KIEGÉSZÍTŐ,NULL
1514,201,Virsli,264,60,g,FŐ_MAKRO,NULL
1515,201,Teljes kiőrlésű kovászos kenyér,106,20,g,FŐ_MAKRO,NULL
1516,201,Cukkini,44,50,g,KIEGÉSZÍTŐ,NULL
1517,201,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1518,202,Zeller,172,100,g,KIEGÉSZÍTŐ,NULL
1519,202,Alma,7,100,g,KIEGÉSZÍTŐ,NULL
1520,202,Citromlé,31,15,ml,ÍZESÍTŐ,NULL
1521,202,Sonka,166,50,g,FŐ_MAKRO,NULL
1522,202,Földimogyoró,69,25,g,FŐ_MAKRO,NULL
1523,202,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,NULL
1524,202,Olívaolaj,132,1,teáskanál,FŐ_MAKRO,NULL
1525,202,Teljes kiőrlésű kenyér,106,30,g,FŐ_MAKRO,NULL
1526,203,Tojás,183,2,db,FŐ_MAKRO,NULL
1527,203,Zöldpaprika,267,50,g,KIEGÉSZÍTŐ,NULL
1528,203,Teljes kiőrlésű kovászos kenyér,106,20,g,FŐ_MAKRO,NULL
1529,203,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1530,204,Teljes kiőrlésű kenyér,106,50,g,FŐ_MAKRO,NULL
1531,204,Paradicsom,139,100,g,KIEGÉSZÍTŐ,NULL
1532,204,Uborka,98,100,g,KIEGÉSZÍTŐ,NULL
1533,204,Vöröshagyma,199,0.5,db,KIEGÉSZÍTŐ,NULL
1534,204,Sonka,166,50,g,FŐ_MAKRO,NULL
1535,204,Olívaolaj,132,1,teáskanál,FŐ_MAKRO,NULL
1536,205,Virsli,264,60,g,FŐ_MAKRO,NULL
1537,205,Teljes kiőrlésű kovászos kenyér,106,30,g,FŐ_MAKRO,NULL
1538,205,Kígyóuborka,98,100,g,KIEGÉSZÍTŐ,NULL
1539,205,Cukormentes dijoni mustár,37,1,teáskanál,ÍZESÍTŐ,NULL
1540,205,Almaecet,8,1,teáskanál,ÍZESÍTŐ,NULL
1541,205,Olívaolaj,132,1,teáskanál,FŐ_MAKRO,NULL
1542,205,Víz,197,1,evőkanál,ÍZESÍTŐ,NULL
1543,206,Pisztráng,145,250,g,FŐ_MAKRO,NULL
1544,206,Szeletelt mandula,120,10,g,KIEGÉSZÍTŐ,NULL
1545,206,Citrom,30,1,db,ÍZESÍTŐ,NULL
1546,206,Olívaolaj,132,10,ml,FŐ_MAKRO,NULL
1547,206,Basmati rizs,18,40,g,FŐ_MAKRO,NULL
1548,206,Vegyes zöldsaláta,159,50,g,KIEGÉSZÍTŐ,NULL
1549,207,Sovány marhahús,123,100,g,FŐ_MAKRO,NULL
1550,207,Kókuszzsír,103,1,teáskanál,FŐ_MAKRO,NULL
1551,207,Paradicsompüré,140,20,g,ÍZESÍTŐ,NULL
1552,207,Mogyoró (sótlan),69,10,g,FŐ_MAKRO,NULL
1553,207,Basmati rizs,18,20,g,FŐ_MAKRO,NULL
1554,207,Vajbab,193,40,g,KIEGÉSZÍTŐ,NULL
1555,207,Kukorica,108,40,g,KIEGÉSZÍTŐ,NULL
1556,207,Sárgarépa,160,50,g,KIEGÉSZÍTŐ,NULL
1557,207,Avokádó,13,50,g,FŐ_MAKRO,NULL
1558,207,Csíra,220,30,g,KIEGÉSZÍTŐ,NULL
1559,207,Szezámmag,174,5,g,KIEGÉSZÍTŐ,NULL
1560,208,Quinoa,148,20,g,FŐ_MAKRO,NULL
1561,208,Füstölt lazac,71,100,g,FŐ_MAKRO,NULL
1562,208,Sárgarépa,160,50,g,KIEGÉSZÍTŐ,NULL
1563,208,Edamame bab,51,50,g,KIEGÉSZÍTŐ,NULL
1564,208,Uborka,98,50,g,KIEGÉSZÍTŐ,NULL
1565,208,Gyömbér (friss),79,2,g,ÍZESÍTŐ,NULL
1566,208,Lime lé,116,1,teáskanál,ÍZESÍTŐ,NULL
1567,208,Szezámmag,174,10,g,FŐ_MAKRO,NULL
1568,209,Csirkemellfilé,42,150,g,FŐ_MAKRO,R209-A
1569,209,Kókuszzsír,103,1,evőkanál,FŐ_MAKRO,NULL
1570,209,Cukormentes mustár,37,1,teáskanál,KÖTÖTT,R209-A
1571,209,Póréhagyma,146,1,db,KIEGÉSZÍTŐ,NULL
1572,209,Kókusztejszín,270,40,ml,KÖTÖTT,R209-A
1573,209,Quinoa,148,40,g,FŐ_MAKRO,NULL
1574,210,Tojás,183,1,db,FŐ_MAKRO,R210-A
1575,210,Vegán fehérjepor,196,20,g,FŐ_MAKRO,R210-A
1576,210,Keserű kakaópor,229,15,g,KÖTÖTT,R210-A
1577,210,Mogyoróvaj,127,15,g,FŐ_MAKRO,R210-A
1578,210,Növényi tej,102,30,ml,KÖTÖTT,R210-A
1579,210,Étcsokoládé (min. 70%),34,15,g,FŐ_MAKRO,R210-A
1580,211,Tojás,183,2,db,FŐ_MAKRO,R211-A
1581,211,Vegán fehérjepor,196,20,g,FŐ_MAKRO,R211-A
1582,211,Víz,197,50,ml,KÖTÖTT,R211-A
1583,211,Zero vaníliás cukor,265,0.5,csomag,ÍZESÍTŐ,NULL
1584,211,Kókuszzsír,103,10,g,FŐ_MAKRO,NULL
1585,212,Növényi tej,102,250,ml,KÖTÖTT,R212-A
1586,212,Csokis vegán fehérjepor,43,30,g,FŐ_MAKRO,R212-A
1587,212,Csokis pudingpor,222,20,g,FŐ_MAKRO,R212-A
1588,213,Növényi tej,102,250,ml,KÖTÖTT,R213-A
1589,213,Vaníliás vegán fehérjepor,196,30,g,FŐ_MAKRO,R213-A
1590,213,Vaníliás pudingpor,195,20,g,FŐ_MAKRO,R213-A
1591,213,Zero vaníliás cukor,265,1,csomag,ÍZESÍTŐ,NULL
1592,214,Pulykamellfilé,147,150,g,FŐ_MAKRO,NULL
1593,214,Vörösbab (konverv),198,150,g,FŐ_MAKRO,NULL
1594,214,Paprika,137,100,g,KIEGÉSZÍTŐ,NULL
1595,214,Lilahagyma,115,20,g,KIEGÉSZÍTŐ,NULL
1596,214,Kókuszolaj,103,5,g,FŐ_MAKRO,NULL
1597,214,Lime lé,116,1,evőkanál,ÍZESÍTŐ,NULL
1598,215,Teljes kiőrlésű kovászos kenyér,106,30,g,FŐ_MAKRO,R215-A
1599,215,Pulykamell sonka,2,50,g,FŐ_MAKRO,NULL
1600,215,Cukormentes dijoni mustár,37,5,g,ÍZESÍTŐ,NULL
1601,215,Olívaolaj,132,5,g,FŐ_MAKRO,R215-A
1602,216,Pulykamellfilé,147,150,g,FŐ_MAKRO,NULL
1603,216,Kókuszzsír,103,5,g,FŐ_MAKRO,NULL
1604,216,Vöröshagyma,199,0.5,db,KIEGÉSZÍTŐ,NULL
1605,216,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,NULL
1606,216,Gyömbér (friss),79,5,g,ÍZESÍTŐ,NULL
1607,216,Kaliforniai paprika,89,70,g,KIEGÉSZÍTŐ,NULL
1608,216,Brokkoli,21,70,g,KIEGÉSZÍTŐ,NULL
1609,216,Currypor,38,1,teáskanál,ÍZESÍTŐ,NULL
1610,216,Kurkuma,110,0.25,teáskanál,ÍZESÍTŐ,NULL
1611,216,Zsírszegény kókusztej,102,150,ml,KIEGÉSZÍTŐ,NULL
1612,216,Citromlé,31,1,evőkanál,ÍZESÍTŐ,NULL
1613,216,Basmati rizs,18,40,g,FŐ_MAKRO,NULL
1614,217,pulykamell,147,130,g,FŐ_MAKRO,R217-A
1615,217,Avokádó,13,50,g,FŐ_MAKRO,R217-A
1616,217,Teljes kiőrlésű tortilla lap,187,1,db,FŐ_MAKRO,R217-A
1617,217,Spenót,169,30,g,KIEGÉSZÍTŐ,R217-A
1618,218,Pulykamellfilé,147,150,g,FŐ_MAKRO,NULL
1619,218,Basmati rizs,18,40,g,FŐ_MAKRO,NULL
1620,218,Paprika,137,1,db,KIEGÉSZÍTŐ,NULL
1621,218,Fokhagyma,67,2,gerezd,ÍZESÍTŐ,NULL
1622,218,Kókuszolaj,103,5,ml,FŐ_MAKRO,NULL
1623,219,Pulykamellfilé,147,150,g,FŐ_MAKRO,NULL
1624,219,Quinoa,148,40,g,FŐ_MAKRO,NULL
1625,219,Brokkoli,21,100,g,KIEGÉSZÍTŐ,NULL
1626,219,Saláta,159,40,g,KIEGÉSZÍTŐ,NULL
1627,220,Pulykamellfilé,147,150,g,FŐ_MAKRO,NULL
1628,220,Spenótlevél,169,30,g,KIEGÉSZÍTŐ,NULL
1629,220,Vegyes salátalevél,159,30,g,KIEGÉSZÍTŐ,NULL
1630,220,Tojás,183,1,db,FŐ_MAKRO,NULL
1631,220,Avokádó,13,50,g,FŐ_MAKRO,NULL
1632,220,Paradicsom,139,1,db,KIEGÉSZÍTŐ,NULL
1633,220,Kovászos kenyér,106,30,g,FŐ_MAKRO,NULL
1634,221,Quinoa,148,40,g,FŐ_MAKRO,NULL
1635,221,Lazacfilé,112,150,g,FŐ_MAKRO,NULL
1636,221,Padlizsán,136,150,g,KIEGÉSZÍTŐ,NULL
1637,222,Quinoa,148,40,g,FŐ_MAKRO,NULL
1638,222,Vöröshagyma,199,0.5,db,KIEGÉSZÍTŐ,NULL
1639,222,Zöldborsó,208,20,g,KIEGÉSZÍTŐ,NULL
1640,222,Kaliforniai paprika,89,20,g,KIEGÉSZÍTŐ,NULL
1641,222,Cukkini,44,30,g,KIEGÉSZÍTŐ,NULL
1642,222,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,NULL
1643,222,Tojásfehérje,275,1,db,FŐ_MAKRO,NULL
1644,223,Csirkemellfilé,42,125,g,FŐ_MAKRO,R223-A
1645,223,Basmati rizs,18,20,g,FŐ_MAKRO,R223-A
1646,223,"Vegyes zöldség (brokkoli, karfiol...)",210,250,g,KIEGÉSZÍTŐ,R223-A
1647,223,Vöröshagyma,199,0.5,db,KIEGÉSZÍTŐ,R223-A
1648,223,Kókuszjoghurt,100,75,g,KIEGÉSZÍTŐ,R223-A
1649,224,Csirkemellfilé,42,150,g,FŐ_MAKRO,R224-A
1650,224,Cukkini,44,100,g,KIEGÉSZÍTŐ,R224-A
1651,224,Vöröshagyma,199,1,db,KIEGÉSZÍTŐ,R224-A
1652,224,Fokhagyma,67,1,gerezd,ÍZESÍTŐ,R224-A
1653,224,Basmati rizs,18,20,g,FŐ_MAKRO,R224-A
1654,224,Kókuszzsír,103,1,teáskanál,FŐ_MAKRO,R224-A
1655,225,Burgonya,216,150,g,FŐ_MAKRO,R225-A
1656,225,Tojás,183,3,db,FŐ_MAKRO,R225-A
1657,225,Csirkemell sonka,166,60,g,FŐ_MAKRO,R225-A
1658,225,Vegán tejföl,180,50,g,KIEGÉSZÍTŐ,R225-A
1659,226,Csirkemellfilé,42,130,g,FŐ_MAKRO,R226-A
1660,226,Vöröshagyma,199,1,db,KIEGÉSZÍTŐ,R226-A
1661,226,Basmati rizs,18,30,g,FŐ_MAKRO,R226-A
1662,226,Savanyúkáposzta,161,150,g,KIEGÉSZÍTŐ,R226-A
1663,226,Paradicsomszósz,241,100,g,KIEGÉSZÍTŐ,R226-A
1664,226,Vegán tejföl,180,50,g,KIEGÉSZÍTŐ,R226-A
1665,226,Olaj,132,1,teáskanál,FŐ_MAKRO,R226-A
1666,227,Brokkoli,21,200,g,KIEGÉSZÍTŐ,R227-A
1667,227,Zabliszt,203,15,g,FŐ_MAKRO,R227-A
1668,227,Tojás,183,1,db,FŐ_MAKRO,R227-A
1669,227,Teljes kiőrlésű zsemlemorzsa,211,35,g,FŐ_MAKRO,R227-A
1670,228,Cukkini,44,200,g,KIEGÉSZÍTŐ,R228-A
1671,228,Zabliszt,203,20,g,FŐ_MAKRO,R228-A
1672,228,Tojás,183,1,db,FŐ_MAKRO,R228-A
1673,228,Teljes kiőrlésű zsemlemorzsa,211,35,g,FŐ_MAKRO,R228-A
1674,229,Gomba/Cukkini/Brokkoli,77/44/21,200,g,KIEGÉSZÍTŐ,R229-A
